Yang-1989,#group#

更新时间,#genre#

2026-07-16 18:49:38,https://sub.vfanlee.dpdns.org:8443/preview.mp4

Yang-1989.•世界杯「Audio」,#genre#

CCTV5「电视伴音」,https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8
CCTV5+「电视伴音」,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8

Yang-1989.•世界杯「Relay」,#genre#

FOX FIFA「回看」,https://cdn-1.yang-1989.xyz/sprt/83taf6?token=66bea2674389d895a2888865cf7047729e1b67afd9cc39b6
FUSSBALL.TV 1,https://cdn-1.yang-1989.xyz/sprt/np6erv?token=66bea2674389d895a2888865cf7047729e1b67afd9cc39b6
FUSSBALL.TV 2,https://cdn-1.yang-1989.xyz/sprt/ezfk2r?token=66bea2674389d895a2888865cf7047729e1b67afd9cc39b6
FUSSBALL.TV 3,https://cdn-1.yang-1989.xyz/sprt/jzrsa4?token=66bea2674389d895a2888865cf7047729e1b67afd9cc39b6
FIFA World Cup CH01,https://cdn-1.yang-1989.xyz/sprt/s5qvvc?token=66bea2674389d895a2888865cf7047729e1b67afd9cc39b6
FIFA World Cup CH02,https://cdn-1.yang-1989.xyz/sprt/rqghws?token=66bea2674389d895a2888865cf7047729e1b67afd9cc39b6
FIFA World Cup CH03,https://cdn-1.yang-1989.xyz/sprt/jg8ykk?token=66bea2674389d895a2888865cf7047729e1b67afd9cc39b6
FIFA World Cup CH04,https://cdn-1.yang-1989.xyz/sprt/cfr728?token=66bea2674389d895a2888865cf7047729e1b67afd9cc39b6

Yang-1989.•香港「Relay」,#genre#

翡翠台,https://cdn.yang-1989.xyz/hkK/fu762z?token=672a74badb0a8a3d6af8a46d399357e644cfc33ccc6281d8
無綫新聞台,https://cdn.yang-1989.xyz/hkK/acubmc?token=672a74badb0a8a3d6af8a46d399357e644cfc33ccc6281d8
TVB Plus,https://cdn.yang-1989.xyz/hkK/24hshx?token=672a74badb0a8a3d6af8a46d399357e644cfc33ccc6281d8
